Digits,Random Time,Deterministic Time
10,0.000209326,8.3652e-05
11,0.000160492,0.000162398
12,0.00017181,0.000516129
13,0.000161881,0.00393635
14,0.000131291,0.00233564
15,0.000139025,0.0128007
16,0.000155669,0.0375555
17,0.000145033,0.0702461
18,0.000150207,0.252387
19,0.000161797,0.928462
20,0.000187234,5.12659
